DID,Handle,Display Name,CreatedAt,Text,ReplyCount,RepostCount,LikeCount,QuoteCount,Parent DID,Parent Handle,Parent Display Name,Parent CreatedAt,Parent Text,Parent ReplyCount,Parent RepostCount,Parent LikeCount,Parent QuoteCount,Quoted DID,Quoted Handle,Quoted Display Name,Quoted CreatedAt,Quoted Text,Quoted ReplyCount,Quoted RepostCount,Quoted LikeCount,Quoted QuoteCount
did:plc:hh2acb7k3mgty3os6iipzkvu,cakemittens.bsky.social,cakemittens,2023-07-09T16:05:33.118Z,"there is a setting under moderation > content filtering that hides nudity by default, you can set it to show or warn if you want. also has settings for violence and misinformation. I have seen almost zero violence/gore but lots of bodies",1,0,1,0,did:plc:3poychxoz7nfj3xismssqz42,windupez.bsky.social,windu pez,2023-07-09T15:51:48.869Z,Sometimes I think I'm on a different bluesky than everyone else. Maybe I have an adult content filter set somewhere but haven't seen nary a buttock of any gender expression,1,0,1,0,,,,,,0,0,0,0
did:plc:kjwqf2kxldtb66x36gfdf6cl,matthewkimballcobbs.me,Matthew Kimball-Cobbs,2023-07-09T14:47:14.742Z,it’s a win-win for conservatives and social media companies. the companies don’t have to spend money on moderation & the conservatives are permitted (and encouraged) to spew hate and misinformation.,0,0,3,0,did:plc:hf7ezrajxadu7v3tzcyij424,parkermolloy.com,Parker Molloy,2023-07-09T14:01:06.824Z,"Oh yeah, 100%.",1,0,4,0,,,,,,0,0,0,0
did:plc:63tkbbujpvukaaowwxv2hpco,anem0ne.net,The Endowed d'Éon de Beaumont Chair in Queer Quantum Mechanics,2023-07-10T14:18:16.263Z,"The fact that brands, normies, boomers, right-wing dis/misinformation relays, transphobes, and bigots are all on Threads and mostly whitelisted and protected by their moderation and content policies bodes well for its ultimate success.",0,5,23,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:hu2obebw3nhfj667522dahfg,danirabaiotti.bsky.social,Dani cRabaiotti 🦀,2023-07-11T09:15:55.750Z,So far it seems to only be the Instagram crew really diving in to threads. I hope if we keep the community good and misinformation moderation tight here Bluesky will win out with scis in the end. Threads has already made it clear they don't want to be a platform for info with their stance on news,0,1,4,0,did:plc:2hi7xalrefcip6i7mnkhusf3,vfmcneill.bsky.social,Faye McNeill ,2023-07-11T03:20:46.444Z,I think the nonsense on Threads is enough to discourage most of science Twitter but it's a matter of taste I guess,4,1,8,0,,,,,,0,0,0,0
did:plc:5ncgsg6w4ctgavunmoutmexh,pragmysticism.bsky.social,lady chatterly’s friend with benefits,2023-07-13T18:51:38.192Z,Hey BlueSky maybe this is a good marketing opportunity to differentiate yourselves from Meta and Twitter re: moderation and misinformation,0,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:om5imrp42g3cxuttily2uelo,theartanchor.bsky.social,Jimmie Wright ,2023-07-13T18:17:33.845Z,"Transparency. Transparency. Transparency. 🤷🏽‍♀️ 

Resolving content moderation dilemmas between free speech and harmful misinformation

https://www.pnas.org/doi/10.1073/pnas.2210666120",0,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:wlyk4lgbsszhnzlq6haxoqw6,sabotagebeats.bsky.social,Dogestradamus 🏳️‍🌈♾️🌌♥️,2023-07-14T22:01:04.555Z,"The moderation would be used strictly to remove illegal or harassing or ad hominem content and not ""misinformation"" or opinions even if they are not socially acceptable. We all deserve a right to our own opinions, bodies, thoughts, beliefs, and feelings, even if they are not socially acceptable.",4,0,3,0,did:plc:wlyk4lgbsszhnzlq6haxoqw6,sabotagebeats.bsky.social,Dogestradamus 🏳️‍🌈♾️🌌♥️,2023-07-14T21:58:23.195Z,The tokens would be used to purchase blue sky services and could be sold on uniswap so the moderators could be paid in dollars or bitcoin or whatever if they want.,1,0,3,0,,,,,,0,0,0,0
did:plc:qwxftspzayyqtmwv5t4rtdsm,leahlitman.bsky.social,Leah Litman,2023-07-14T19:23:24.927Z,The fifth circuit temporarily halted the injunction barring the federal government from meeting with social media companies about content moderation and misinformation online,2,22,81,6,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:orevglgz6wzxpc5tcoc6et3p,chymerajade.bsky.social,𝔠𝔥𝔶𝔪𝔢𝔯𝔞𝔧𝔞𝔡𝔢 🎄,2023-07-30T18:38:47.131Z,"This amounts to being susceptible to misinformation, isolation, depression, procrastination, aggression, bullying, etc. Adding in the moderation piece, you're already dealing w/ fucky social dynamics, context collapse, and the fact there can be no set discrete parameters that will work for everyone",1,0,0,0,did:plc:orevglgz6wzxpc5tcoc6et3p,chymerajade.bsky.social,𝔠𝔥𝔶𝔪𝔢𝔯𝔞𝔧𝔞𝔡𝔢 🎄,2023-07-30T18:31:34.711Z,"So already at the outset, it's inauthentic. Connections are driven by reward, status, and other perceived benefits. And while it does offer social interaction & connection, the flipside is actually more isolation, especially for anyone who cannot or will not leverage the superficial gamified dynamic",1,0,0,0,,,,,,0,0,0,0
did:plc:hh3k6sinpu7wjfqdih3lpuo4,evilginger013.bsky.social,EvilGinger- Queen of Naps,2023-08-07T23:22:50.612Z,"So, I am noticing that the Twitter Drama and ""Experts"" seem to be here, times 10.
With far less moderation, similar dogpiling, and just as much misinformation/disinformation as the Dead Birb App had. 
Bluesky currently feels like Romper Room after a 100 lb bag of candy was dumped in the room. 😫",1,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:d2675i3uqfrwfpecz7ydydpb,worstplace.bsky.social,berserk,2023-08-21T22:47:16.122Z,This provides protection primarily for accounts that spread misinformation and/or hate speech. You cannot create moderation policy based on the principle that people don't like getting yelled at.,1,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:pdnyncbs45brdea7rdezbu3e,druidbird.com,druid,2023-08-21T03:59:43.273Z,"all of your content on the internet has been run through ai. the AI moderation that flags slurs, nudity, etc is used on nearly every website that has user generated content. we can be against generated-content without fear mongering and spreading misinformation.",1,0,0,0,did:plc:fdm2e7wi7fwjadq2yzdtlzmd,farronox.bsky.social,|🏳️‍⚧️ Farronox | ❤️🧡💛💚,2023-08-21T03:54:50.012Z,"Thank you for clarification, needless to say I haven't been around here for that conversation. 

Doesn't change the fact I don't trust ""ai"".",1,0,0,0,,,,,,0,0,0,0
did:plc:v5nveob6kufzfcjzwhw4fpml,tyden.bsky.social,#TYDEN / #WEEKLY,2023-08-26T05:30:58.416Z,"Faced with content moderation wars, Meta and YouTube follow X in retreating from controlling political misinformation , raising concerns about the 2024 US election. (Washington Post)",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:6sfrfhw2vlakpteolhj75stl,peterdutoit.com,Peter,2023-09-14T05:06:37.399Z,"This comment was made on a high profile climate scientist’s update on LinkedIn.

LinkedIn refuses to take action when climate misinformation or disinformation is reported.

This is why this is necessary over there. 

(Applicable, I would argue to all sites that allow for comment moderation)",0,0,2,0,,,,,,0,0,0,0,,,,,,0,0,0,0
did:plc:waeh2azqfmi6xk2wwst3olso,sohandsouza.bsky.social,Sohan Dsouza,2023-09-15T14:58:45.176Z,"«""This is a big challenge for large platforms to do effective moderation in different cultural contexts, and the further from English language it gets, the more complicated it is.""»
#misinformation #elections #socialMedia #platforms 
theguardian.com/media/2023/s...",0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
